STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,REPORT_TYPE_FM-16,HOUR
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.175798022,-2.350304123,-0.848908831,-1.413740226,0.515000224,-1.064410316,1,0,0,0
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.055995846,0,1,0,0
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.089653726,0,1,0,0
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.198015601,-2.350304123,-0.875084221,-1.413669394,0.772128015,-1.089653726,1,0,0,1
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.089653726,0,1,0,1
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.114897137,0,1,0,1
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.209124391,-2.350304123,-0.888171916,-1.413669394,0.836409963,-1.114897137,1,0,0,2
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.114897137,0,1,0,2
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.119104372,0,1,0,2
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.153580444,-2.350304123,-0.822733441,-1.413645783,0.579282172,-1.114897137,1,0,0,3
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.114897137,0,1,0,3
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,0.900691911,-1.081239256,0,1,0,3
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.142471654,-2.350304123,-0.809645746,-1.413645783,0.579282172,-1.055995846,1,0,0,4
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.055995846,0,1,0,4
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-1.030752436,0,1,0,4
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.142471654,-2.350304123,-0.809645746,-1.413622172,-0.384947046,-0.896120915,1,0,0,5
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-0.896120915,0,1,0,5
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,-1.542022107,-0.837219624,0,1,0,5
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.164689233,-2.350304123,-0.835821136,-1.413504117,-1.542022107,-0.837219624,1,0,0,6
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,-1.542022107,-0.837219624,0,1,0,6
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.914347307,0.707515915,-1.542022107,-0.795147274,0,1,0,6
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.175798022,-2.350304123,-0.848908831,-1.413456895,-1.542022107,-0.795147274,1,0,0,7
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.23134197,-2.350304123,-0.914347307,0.707515915,-1.542022107,-0.795147274,0,1,0,7
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-0.753074923,0,1,0,7
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,-1.413409673,-1.542022107,-0.711002573,1,0,0,8
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-0.711002573,0,1,0,8
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-0.711002573,0,1,0,8
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.064710128,-2.350304123,-0.718031881,-1.413315229,-1.542022107,-0.626857872,1,0,0,9
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0,-0.626857872,0,1,0,9
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.009166181,0.425476852,-0.783470356,0.707515915,0,-0.626857872,0,1,0,9
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.931404655,0.425476852,-0.56097954,-1.413291618,-1.542022107,-0.542713171,1,0,0,10
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.009166181,0.425476852,-0.652593406,0.707515915,0,-0.542713171,0,1,0,10
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.898078287,0.425476852,-0.521716455,0.707515915,0,-0.45856847,0,1,0,10
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.83142555,0.425476852,-0.495541065,-1.413480506,-1.542022107,-0.45856847,1,0,0,11
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.898078287,0.425476852,-0.521716455,0.707515915,0,-0.45856847,0,1,0,11
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.786990392,0.425476852,-0.521716455,0.707515915,0,-0.45856847,0,1,0,11
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.709228866,0.425476852,-0.45627798,-1.413598561,0,-0.290279069,1,0,0,12
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-0.675902498,0.425476852,-0.521716455,0.707515915,0,-0.298693539,0,1,0,12
