STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,HOUR
0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.33,-0.29,-1.41,-1.89,-0.86,1.00,0.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.86,0.00,1.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.90,0.00,1.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.33,-0.29,-1.41,-1.89,-0.90,1.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.15,0.71,-1.89,-0.90,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.33,-0.29,-1.41,-1.89,-0.78,1.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.43,0.71,-1.89,-0.97,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.73,0.33,-0.35,-1.41,-1.75,-1.06,1.00,0.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-1.06,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.93,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.64,0.33,-0.26,-1.41,0.00,-0.41,1.00,0.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,3.00
